airBAND#,TAG #,st,E,A,AD,Sex,Mo,Dy,Yr,PT,TR,F,rg,Location,BANDITLOC,lat,LAT_DEC,long,LONG_DEC,Type
73802399,H35,3,39,4,,0,8,6,2004,PT,,6,79,ARCHERWILL,,522,52.41667,1035,-103.91667,band
73802400,H36,3,39,4,,0,8,6,2004,PT,,6,79,ARCHERWILL,,522,52.41667,1035,-103.91667,band
73802401,H37,3,39,4,,0,8,6,2004,PT,,6,79,11 E OF ARBORFIELD,,530,53.08333,1032,-103.41667,band
73802402,H38,3,39,4,,0,8,6,2004,PT,,6,79,11 E OF ARBORFIELD,,530,53.08333,1032,-103.41667,band
73802403,H39,3,39,4,,0,8,6,2004,PT,,6,79,SMUTS,,522,52.41667,1060,-106.08333,band
73802404,H40,3,39,4,,0,8,6,2004,PT,,6,79,SMUTS,,522,52.41667,1060,-106.08333,band
73802483,C9,3,39,4,B,0,8,8,2010,PT,,6,79,South of Neudorf SK,NES1,503,50.65861,1030,-103.13972,band
73802484,C10,3,39,4,,0,8,8,2010,PT,,6,79,Lemberg,LM1,504,50.68028,1031,-103.27167,band
73802485,C11,3,39,4,,0,8,8,2010,PT,,6,79,Lemberg,LM1,504,50.68028,1031,-103.27167,band
73802486,C12,3,39,4,,0,8,8,2010,PT,,6,79,Kendal ,KN1,501,50.25889,1033,-103.64333,band
73802487,C13,3,39,4,,0,8,9,2010,PT,,6,79,9.7 mi SSW Markinch,MRS1,504,50.80556,1042,-104.42528,band
73802488,C14,3,39,4,,0,8,9,2010,PT,,6,79,W of Strasbourg SK,SGW1,510,51.02083,1050,-105.03222,band
73802489,C15,3,39,4,,0,8,9,2010,PT,,6,79,,,504,50.70361,1043,-104.59167,band
73802490,C16,3,39,4,,0,8,9,2010,PT,,6,79,9.5 mi E of Craven ,CRE1,504,50.70361,1043,-104.59167,band
73802491,C17,3,39,4,,0,8,27,2010,PT,,6,79,2 mi N of Broadview,BRDN,502,50.40333,1023,-102.58083,band
73802492,C18,3,39,4,,0,8,27,2010,PT,,6,79,2 mi N of Broadview,BRDN,502,50.40333,1023,-102.58083,band
73802493,E0,3,39,4,,0,8,7,2010,PT,,6,79,Foxford SK,FX1,532,53.43194,1050,-105.15,band
73802494,E1,3,39,4,,0,8,7,2010,PT,,6,79,Foxford SK,FX1,532,53.43194,1050,-105.15,band
73802495,E2,3,39,4,,0,8,7,2010,PT,,6,79,North of Garrick SK,GAN1,534,53.67833,1041,-104.2175,band
73802496,E3,3,39,4,,0,8,7,2010,PT,,6,79,North of Garrick SK,GAN1,534,53.67833,1041,-104.2175,band
73802497,E4,3,39,4,B,0,8,7,2010,PT,,6,79,7 NNE White Fox,WFN2,533,53.55444,1040,-104.02389,band
73802498,E5,3,39,4,B,0,8,7,2010,PT,,6,79,7 NNE White Fox,WFN2,533,53.55444,1040,-104.02389,band
73802499,E6,3,39,4,B,0,8,7,2010,PT,,6,79,West of Pas Trail SK,,533,53.52694,1035,-103.94778,band
73802500,E7,3,39,4,B,0,8,7,2010,PT,,6,79,West of Pas Trail SK,,533,53.51056,1035,-103.88667,band
73802501,H41,3,39,4,,0,8,8,2004,PT,,6,79,11 N OF LISIEUX,,492,49.41667,1055,-105.91667,band
73802502,H42,3,39,4,,0,8,8,2004,PT,,6,79,11 N OF LISIEUX,,492,49.41667,1055,-105.91667,band
73802503,H43,3,39,4,,0,8,8,2004,PT,,6,79,9 N OF CARLYLE LK,,494,49.75,1021,-102.25,band
73802504,H44,3,39,4,,0,8,8,2004,PT,,6,79,11 N OF KENDAL,,502,50.41667,1033,-103.58333,band
73802505,H45,3,39,4,,0,8,8,2004,PT,,6,79,11 N OF KENDAL ,,502,50.41667,1033,-103.58333,band
73802506,H46,3,39,4,,0,8,9,2004,PT,,6,79,7  E OF PUNNICHY,,512,51.41667,1040,-104.08333,band
73802507,H47,3,39,4,,0,8,9,2004,PT,,6,79,7  E OF PUNNICHY,,512,51.41667,1040,-104.08333,band
73802508,H48,3,39,4,,0,8,9,2004,PT,,6,79,HANLEY,,513,51.58333,1062,-106.41667,band
73802509,H50,3,39,4,,0,8,9,2004,PT,,6,79,HANLEY,,513,51.58333,1062,-106.41667,band
73802510,H51,3,39,4,,0,8,12,2004,PT,,6,79,11 S OF HOLBEIN,,530,53.08333,1061,-106.25,band
73802511,H52,3,39,4,,0,8,12,2004,PT,,6,79,11 S OF HOLBEIN,,530,53.08333,1061,-106.25,band
73802512,H53,3,39,4,,0,8,12,2004,PT,,6,79,SHELL LAKE,,531,53.25,1070,-107.08333,band
73802513,H54,3,39,4,,0,8,20,2004,PT,,6,79,14 E CARROT RIVER,,531,53.25,1031,-103.25,band
73802514,H55,3,39,4,,0,8,20,2004,PT,,6,79,14 E CARROT RIVER,,531,53.25,1031,-103.25,band
73802515,H0,3,25,8,ad,0,6,18,2005,PT,TR,6,79,11 S OF HOLBEIN,,530,53.08333,1061,-106.25,band
73802516,H2,3,25,8,ad,0,6,19,2005,Wing tag and GPS transmitter ,TR,6,79,HANLEY,,513,51.58333,1062,-106.41667,band
73802517,H49,3,39,4,,0,8,5,2005,PT ,,6,79,Duck Lake,,524,52.75,1061,-106.25,band
73802518,H56,3,39,4,,0,8,5,2005,PT ,,6,79,YELLOW CREEK,,524,52.75,1051,-105.25,band
73802519,H57,3,39,4,,0,8,5,2005,PT ,,6,79,10 E OF ARELEE,,521,52.25,1071,-107.25,band
73802520,H58,3,39,4,,0,8,6,2005,PT ,,6,79,HANLEY,,513,51.58333,1062,-106.41667,band
73802521,H59,3,39,4,,0,8,6,2005,PT ,,6,79,HANLEY,,513,51.58333,1062,-106.41667,band
73802522,H60,3,39,4,,0,8,6,2005,PT ,,6,79,SHELL LAKE,,531,53.25,1070,-107.08333,band
73802523,H61,3,39,4,,0,8,6,2005,PT ,,6,79,SHELL LAKE,,531,53.25,1070,-107.08333,band
73802524,H62,3,39,4,,0,8,6,2005,PT ,,6,79,BELBUTTE,,532,53.41667,1074,-107.75,band
73802525,H63,3,39,4,,0,8,6,2005,PT ,,6,79,BELBUTTE,,532,53.41667,1074,-107.75,band
73802526,H64,3,39,4,,0,8,6,2005,PT ,,6,79,7  W OF LEOVILLE,,533,53.58333,1074,-107.75,band
73802527,H65,3,39,4,,0,8,6,2005,PT ,,6,79,7  W OF LEOVILLE,,533,53.58333,1074,-107.75,band
73802528,H66,3,39,4,,0,8,7,2005,PT ,,6,79,14 E CARROT RIVER,,531,53.25,1031,-103.25,band
73802529,H67,3,39,4,,0,8,7,2005,PT ,,6,79,14 E CARROT RIVER,,531,53.25,1031,-103.25,band
73802530,H68,3,39,4,,0,8,7,2005,PT ,,6,79,11 E OF ARBORFIELD,,530,53.08333,1032,-103.41667,band
73802531,H69,3,39,4,,0,8,7,2005,PT ,,6,79,11 E OF ARBORFIELD,,530,53.08333,1032,-103.41667,band
73802532,H70,3,39,4,,0,8,7,2005,PT ,,6,79,11 S OF CHELAN,,522,52.41667,1032,-103.41667,band
73802533,H71,3,39,4,,0,8,7,2005,PT ,,6,79,11 S OF CHELAN,,522,52.41667,1032,-103.41667,band
73802534,H72,3,39,4,,0,8,7,2005,PT ,,6,79,5 mi East of Kelvington,,521,52.25,1032,-103.41667,band
73802535,H73,3,39,4,,0,8,7,2005,PT ,,6,79,KELVINGTON,,521,52.25,1033,-103.58333,band
73802536,H74,3,39,4,D,0,8,7,2005,PT ,,6,79,NUT MOUNTAIN,,520,52.08333,1032,-103.41667,band
73802537,H75,3,39,4,,0,8,7,2005,PT ,,6,79,STURGIS,,515,51.91667,1023,-102.58333,band
73802538,H76,3,39,4,,0,8,7,2005,PT ,,6,79,STURGIS,,515,51.91667,1023,-102.58333,band
73802539,H77,3,39,4,,0,8,7,2005,PT ,,6,79,5 mi South of Kuroki,,514,51.75,1032,-103.41667,band
73802540,H78,3,39,4,,0,8,8,2005,PT ,,6,79,5 mi E of ParkvieW,,512,51.41667,1030,-103.08333,band
73802541,H79,3,39,4,,0,8,8,2005,PT ,,6,79,5 mi E of Parkerview,,512,51.41667,1030,-103.08333,band
73802542,H80,3,39,4,,0,8,8,2005,PT ,,6,79,Bredenbury,,505,50.91667,1020,-102.08333,band
73802543,H81,3,39,4,,0,8,8,2005,PT ,,6,79,5 mi E of Bredenbury,,505,50.91667,1015,-101.91667,band
73802544,H82,3,39,4,,0,8,8,2005,PT ,,6,79,MacNutt,,510,51.08333,1013,-101.58333,band
73802545,H83,3,39,4,,0,8,8,2005,PT ,,6,79,MacNutt,,510,51.08333,1013,-101.58333,band
73802546,H84,3,39,4,,0,8,8,2005,PT ,,6,79,MacNutt,,510,51.08333,1013,-101.58333,band
73802547,H85,3,39,4,,0,8,8,2005,PT ,,6,79,MacNutt,,510,51.08333,1013,-101.58333,band
73802548,H86,3,39,4,,0,8,8,2005,PT ,,6,79,5 mi E of Langenburg,,505,50.91667,1013,-101.58333,band
73802549,H87,3,39,4,,0,8,8,2005,PT ,,6,79,9 N OF CARLYLE LK,,494,49.75,1021,-102.25,band
73802550,H88,3,39,4,F,0,8,9,2005,PT ,,6,79,11 N OF KENDAL ,,502,50.41667,1033,-103.58333,band
73802551,H89,3,39,4,,0,8,9,2005,PT ,,6,79,"Markinch, ",,505,50.91667,1042,-104.41667,band
73802552,H90,3,39,4,,0,8,9,2005,PT ,,6,79,Earl Grey,,505,50.91667,1044,-104.75,band
73802553,H91,3,39,4,E,0,8,11,2005,PT ,,6,79,11 S OF HOLBEIN,,530,53.08333,1061,-106.25,band
73802554,H92,3,39,4,,0,8,11,2005,PT ,,6,79,HENRIBOURG,,532,53.41667,1053,-105.58333,band
73802555,H93,3,39,4,,0,8,11,2005,PT ,,6,79,HENRIBOURG,,532,53.41667,1053,-105.58333,band
73802556,H94,3,39,4,,0,8,15,2005,PT ,,6,79,7  W OF DUVAL,,510,51.08333,1050,-105.08333,band
73802557,H95,3,39,4,,0,8,15,2005,PT ,,6,79,7  W OF DUVAL,,510,51.08333,1050,-105.08333,band
73802558,H96,3,39,4,,0,8,20,2005,PT ,,6,79,PORCUPINE PLAIN,,523,52.58333,1031,-103.25,band
73802559,H97,3,39,4,,0,8,20,2005,PT ,,6,79,PORCUPINE PLAIN,,523,52.58333,1031,-103.25,band
73802560,H4,3,39,8,ad,0,5,26,2006,PT ,,6,79,Duck Lake,,524,52.75,1061,-106.25,band
73802561,H5,3,39,8,ad,0,5,26,2006,PT ,,6,79,11 S OF HOLBEIN,,530,53.08333,1061,-106.25,band
73802562,H6,3,39,8,ad,0,6,17,2006,PT ,,6,79,SHELL LAKE,,531,53.25,1070,-107.08333,band
73802563,H7,3,39,8,ad,F,6,21,2006,PT ,,6,79,Duck Lake,,524,52.75,1061,-106.25,band
73802564,H8,3,39,8,ad,0,6,23,2006,PT ,,6,79,11 S OF HOLBEIN,,530,53.08333,1061,-106.25,band
73802565,H9,3,39,8,ad,0,7,15,2006,PT ,,6,79,11 S OF MONT NEBO,,530,53.08333,1065,-106.91667,band
73802566,H98,3,39,8,ad,0,7,16,2006,PT ,,6,79,11 S OF MONT NEBO,,530,53.08333,1065,-106.91667,band
73802567,T10,3,39,4,,0,8,1,2006,PT ,,6,79,SMUTS,,522,52.41667,1060,-106.08333,band
73802568,T11,3,39,4,,0,8,1,2006,PT ,,6,79,SMUTS,,522,52.41667,1060,-106.08333,band
73802569,T12,3,39,4,,0,8,1,2006,PT ,,6,79,SHELL LAKE,,531,53.25,1070,-107.08333,band
73802570,T13,3,39,4,,0,8,1,2006,PT ,,6,79,SHELL LAKE,,531,53.25,1070,-107.08333,band
73802571,T14,3,39,4,,0,8,3,2006,PT ,,6,79,6 E OF BETHUNE,,504,50.75,1050,-105.08333,band
73802572,T15,3,39,4,,0,8,3,2006,PT ,,6,79,6 E OF BETHUNE,,504,50.75,1050,-105.08333,band
73802573,T16,3,39,4,,0,8,3,2006,PT ,,6,79,"11 N OF LISIEUX,",,492,49.41667,1055,-105.91667,band
73802574,T17,3,39,4,,0,8,3,2006,PT ,,6,79,"11 N OF LISIEUX, ",,492,49.41667,1055,-105.91667,band
73802575,T18,3,39,4,,0,8,3,2006,PT ,,6,79,9 N OF CARLYLE LK,,494,49.75,1021,-102.25,band
73802576,T19,3,39,4,,0,8,3,2006,PT ,,6,79,9 N OF CARLYLE LK,,494,49.75,1021,-102.25,band
73802577,T20,3,39,4,,0,8,3,2006,PT ,,6,79,Kendal,,501,50.25,1033,-103.58333,band
73802578,T21,3,39,4,,0,8,3,2006,PT ,,6,79,Kendal,,501,50.25,1033,-103.58333,band
73802579,T22,3,39,4,,0,8,3,2006,PT ,,6,79,11 N OF KENDAL ,,502,50.41667,1033,-103.58333,band
73802580,T23,3,39,4,,0,8,3,2006,PT ,,6,79,11 N OF KENDAL ,,502,50.41667,1033,-103.58333,band
73802581,T24,3,39,4,,0,8,4,2006,PT ,,6,79,East of Craven,,504,50.75,1043,-104.58333,band
73802582,T25,3,39,4,,0,8,4,2006,PT ,,6,79,Markinch,,505,50.91667,1042,-104.41667,band
73802583,T26,3,39,4,,0,8,4,2006,PT ,,6,79,Markinch,,505,50.91667,1042,-104.41667,band
73802584,T27,3,39,4,,0,8,4,2006,PT ,,6,79,Earl Grey,,505,50.91667,1044,-104.75,band
73802585,T28,3,39,4,,0,8,4,2006,PT ,,6,79,"Earl Grey,",,505,50.91667,1044,-104.75,band
73802586,T29,3,39,4,,0,8,4,2006,PT ,,6,79,GIBBS,,505,50.91667,1045,-104.91667,band
73802587,T30,3,39,4,,0,8,4,2006,PT ,,6,79,7  W OF DUVAL,,510,51.08333,1050,-105.08333,band
73802588,T31,3,39,4,,0,8,4,2006,PT ,,6,79,7  W OF DUVAL,,510,51.08333,1050,-105.08333,band
73802589,T32,3,39,4,,0,8,4,2006,PT ,,6,79,KELVINGTON,,521,52.25,1033,-103.58333,band
73802590,T33,3,39,4,,0,8,4,2006,PT ,,6,79,KELVINGTON,,521,52.25,1033,-103.58333,band
73802591,T34,3,39,4,,0,8,4,2006,PT ,,6,79,5 mi E of KelvingtoN,,521,52.25,1032,-103.41667,band
73802592,T35,3,39,4,,0,8,4,2006,PT ,,6,79,5 mi E of Kelvington,,521,52.25,1032,-103.41667,band
73802593,T36,3,39,4,,0,8,4,2006,PT ,,6,79,11 S OF CHELAN,,522,52.41667,1032,-103.41667,band
73802594,T37,3,39,4,,0,8,4,2006,PT ,,6,79,11 S OF CHELAN,,522,52.41667,1032,-103.41667,band
73802595,T38,3,39,4,,0,8,4,2006,PT ,,6,79,11 S OF CHELAN,,522,52.41667,1032,-103.41667,band
73802596,T39,3,39,4,,0,8,4,2006,PT ,,6,79,"11 S OF CHELAN,",,522,52.41667,1032,-103.41667,band
73802597,T40,3,39,4,,0,8,4,2006,PT ,,6,79,"11 S OF CHELAN, ",,522,52.41667,1032,-103.41667,band
73802598,T41,3,39,4,,0,8,4,2006,PT ,,6,79,11 S OF CHELAN,,522,52.41667,1032,-103.41667,band
73802599,T42,3,39,4,,0,8,5,2006,PT ,,6,79,PORCUPINE PLAIN,,523,52.58333,1031,-103.25,band
73802600,T43,3,39,4,,0,8,5,2006,PT ,,6,79,PORCUPINE PLAIN,,523,52.58333,1031,-103.25,band
73803601,T44,3,39,4,,0,8,5,2006,PT ,,6,79,PORCUPINE PLAIN,,523,52.58333,1031,-103.25,band
73803602,T45,3,39,4,,0,8,5,2006,PT ,,6,79,PORCUPINE PLAIN,,523,52.58333,1031,-103.25,band
73803603,T46,3,39,4,,0,8,5,2006,PT ,,6,79,North Porcupine Plain,,524,52.75,1031,-103.25,band
73803604,T47,3,39,4,,0,8,5,2006,PT ,,6,79,North Porcupine Plain,,524,52.75,1031,-103.25,band
73803605,T48,3,39,4,,0,8,5,2006,PT ,,6,79,14 E CARROT RIVER,,531,53.25,1031,-103.25,band
73803606,T49,3,39,4,,0,8,5,2006,PT ,,6,79,14 E CARROT RIVER,,531,53.25,1031,-103.25,band
73803607,T50,3,39,4,,0,8,5,2006,PT ,,6,79,Cater,,532,53.41667,1080,-108.08333,band
73803608,T51,3,39,4,,0,8,5,2006,PT ,,6,79,Cater,,532,53.41667,1080,-108.08333,band
73803609,T52,3,39,4,,0,8,6,2006,PT ,,6,79,BELBUTTE,,532,53.41667,1074,-107.75,band
73803610,T53,3,39,4,,0,8,6,2006,PT ,,6,79,BELBUTTE,,532,53.41667,1074,-107.75,band
73803611,T54,3,39,4,,0,8,6,2006,PT ,,6,79,7  W OF LEOVILLE,,533,53.58333,1074,-107.75,band
73803612,T55,3,39,4,,0,8,6,2006,PT ,,6,79,7  W OF LEOVILLE,,533,53.58333,1074,-107.75,band
73803613,T56,3,39,4,,0,8,6,2006,PT ,,6,79,LEOVILLE,,533,53.58333,1073,-107.58333,band
73803614,T57,3,39,4,,0,8,6,2006,PT ,,6,79,LEOVILLE,,533,53.58333,1073,-107.58333,band
73803615,T58,3,39,4,,0,8,6,2006,PT ,,6,79,11 E OF BIG RIVER,,534,53.75,1064,-106.75,band
73803616,T59,3,39,4,,0,8,6,2006,PT ,,6,79,11 E OF BIG RIVER,,534,53.75,1064,-106.75,band
73803617,T60,3,39,4,,0,8,6,2006,PT ,,6,79,11 N OF CANWOOD,,533,53.58333,1063,-106.58333,band
73803618,T61,3,39,4,,0,8,6,2006,PT ,,6,79,11 N OF CANWOOD,,533,53.58333,1063,-106.58333,band
73803619,T62,3,39,4,,0,8,6,2006,PT ,,6,79,Canwood,,532,53.41667,1063,-106.58333,band
73803620,T63,3,39,4,,0,8,6,2006,PT ,,6,79,Canwood,,532,53.41667,1063,-106.58333,band
73803621,T64,3,39,4,,0,8,6,2006,PT ,,6,79,PASCAL,,533,53.58333,1070,-107.08333,band
73803622,T65,3,39,4,,0,8,6,2006,PT ,,6,79,PASCAL,,533,53.58333,1070,-107.08333,band
73803623,T66,3,39,4,,0,8,8,2006,PT ,,6,79,YELLOW CREEK,,524,52.75,1051,-105.25,band
73803624,T67,3,39,4,,0,8,8,2006,PT ,,6,79,YELLOW CREEK,,524,52.75,1051,-105.25,band
73803625,T68,3,39,4,,0,8,8,2006,PT ,,6,79,St. Brieux,,523,52.58333,1045,-104.91667,band
73803626,T69,3,39,4,,0,8,8,2006,PT ,,6,79,St. Brieux,,523,52.58333,1045,-104.91667,band
73803627,T70,3,39,4,,0,8,8,2006,PT ,,6,79,INVERMAY,,514,51.75,1030,-103.08333,band
73803628,T71,3,39,4,,0,8,8,2006,PT ,,6,79,INVERMAY,,514,51.75,1030,-103.08333,band
73803629,T72,3,39,4,,0,8,8,2006,PT ,,6,79,5 mi E of ParkervieW,,512,51.41667,1030,-103.08333,band
73803630,T73,3,39,4,,0,8,8,2006,PT ,,6,79,5 mi E of Parkerview,,512,51.41667,1030,-103.08333,band
73803631,T74,3,39,4,,0,8,8,2006,PT ,,6,79,Lemberg,,503,50.58333,1031,-103.25,band
73803632,T75,3,39,4,,0,8,8,2006,PT ,,6,79,Lemberg,,503,50.58333,1031,-103.25,band
73803633,T76,3,39,4,,0,8,8,2006,PT ,,6,79,West of Moosomin,,500,50.08333,1014,-101.75,band
73803634,T77,3,39,4,,0,8,8,2006,PT ,,6,79,West of Moosomin,,500,50.08333,1014,-101.75,band
73803635,T78,3,39,4,,0,8,8,2006,PT ,,6,79,North of Maryfield,,495,49.91667,1013,-101.58333,band
73803636,T79,3,39,4,,0,8,9,2006,PT ,,6,45,"Shellmouth, MB",,505,50.91667,1012,-101.41667,band
73803637,T80,3,39,4,,0,8,9,2006,PT ,,6,45,"Shellmouth, MB",,505,50.91667,1012,-101.41667,band
73803638,T81,3,39,4,,0,8,9,2006,PT ,,6,45,"Dropmore, MB",,510,51.08333,1012,-101.41667,band
73803639,T82,3,39,4,,0,8,9,2006,PT ,,6,45,"Dropmore, MB",,510,51.08333,1012,-101.41667,band
73803640,T83,3,39,4,,0,8,9,2006,PT ,,6,79,MacNutt,,510,51.08333,1013,-101.58333,band
73803641,T84,3,39,4,,0,8,9,2006,PT ,,6,79,Bredenbury,,505,50.91667,1020,-102.08333,band
73803642,T85,3,39,4,,0,8,9,2006,PT ,,6,79,Bredenbury,,505,50.91667,1020,-102.08333,band
73803643,T86,3,39,4,,0,8,10,2006,PT ,,6,79,10 E OF ARELEE,,521,52.25,1071,-107.25,band
73803644,T87,3,39,4,,0,8,11,2006,PT ,,6,79,SHELL LAKE,,531,53.25,1070,-107.08333,band
73803645,T88,3,39,4,,0,8,11,2006,PT ,,6,79,SHELL LAKE,,531,53.25,1070,-107.08333,band
73803646,T89,3,39,4,E,0,8,11,2006,PT ,,6,79,11 S OF HOLBEIN,,530,53.08333,1061,-106.25,band
73803647,T90,3,39,4,,0,8,20,2006,PT ,,6,79,West of Canwood,,532,53.41667,1064,-106.75,band
73803648,T91,3,39,4,,0,8,20,2006,PT ,,6,79,West of Canwood,,532,53.41667,1064,-106.75,band
73803649,T92,3,39,4,,0,8,20,2006,PT ,,6,79,PASCAL,,533,53.58333,1070,-107.08333,band
73803650,T93,3,39,4,,0,8,21,2006,PT ,,6,79,11 S OF FIELDING,,522,52.41667,1073,-107.58333,band
73803651,T94,3,39,4,hy,0,9,8,2006,PT ,,6,79,PIKE LAKE,,515,51.91667,1064,-106.75,band
73803652,T1,3,39,8,ad,0,6,9,2007,PT ,,6,79,BELBUTTE,,532,53.41667,1074,-107.75,band
73803653,T2,3,25,8,ad,f,6,16,2007,PT ,TR,6,79,LEOVILLE,,533,53.58333,1073,-107.58333,band
73803654,T95,3,39,4,,0,8,1,2007,PT ,,6,79,11 N OF KENDAl,,502,50.41667,1033,-103.58333,band
73803655,T96,3,39,4,,0,8,1,2007,PT ,,6,79,11 N OF KENDAL,,502,50.41667,1033,-103.58333,band
73803656,T97,3,39,4,,0,8,1,2007,PT ,,6,79,East of Craven,,504,50.75,1043,-104.58333,band
73803657,T98,3,39,4,,0,8,1,2007,PT ,,6,79,East of Craven,,504,50.75,1043,-104.58333,band
73803658,A10,3,39,4,,0,8,1,2007,PT ,,6,79,7  W OF DUVAL,,510,51.08333,1050,-105.08333,band
73803659,A11,3,39,4,,0,8,1,2007,PT ,,6,79,7  W OF DUVAL,,510,51.08333,1050,-105.08333,band
73803660,A12,3,39,4,,0,8,1,2007,PT ,,6,79,"Earl Grey, ",,505,50.91667,1044,-104.75,band
73803661,A13,3,39,4,,0,8,1,2007,PT ,,6,79,"Earl Grey, ",,505,50.91667,1044,-104.75,band
73803662,A14,3,39,4,,0,8,1,2007,PT ,,6,79,"Markinch, ",,505,50.91667,1042,-104.41667,band
73803663,A15,3,39,4,,0,8,1,2007,PT ,,6,79,"Markinch, ",,505,50.91667,1042,-104.41667,band
73803664,A16,3,39,4,,0,8,1,2007,PT ,,6,79,5 mi E of Parkerview,,512,51.41667,1030,-103.08333,band
73803665,A17,3,39,4,,0,8,1,2007,PT ,,6,79,5 mi E of Parkerview,,512,51.41667,1030,-103.08333,band
73803666,A18,3,39,4,,0,8,2,2007,PT ,,6,79,"KELVINGTON, ",,521,52.25,1033,-103.58333,band
73803667,A19,3,39,4,,0,8,2,2007,PT ,,6,79,"KELVINGTON, ",,521,52.25,1033,-103.58333,band
73803668,A20,3,39,4,,0,8,2,2007,PT ,,6,79,5 mi E of Kelvington,,521,52.25,1032,-103.41667,band
73803669,A21,3,39,4,,0,8,2,2007,PT ,,6,79,5 mi E of Kelvington,,521,52.25,1032,-103.41667,band
73803670,A22,3,39,4,,0,8,2,2007,PT ,,6,79,"11 S OF CHELAN, ",,522,52.41667,1032,-103.41667,band
73803671,A23,3,39,4,,0,8,2,2007,PT ,,6,79,"11 S OF CHELAN, ",,522,52.41667,1032,-103.41667,band
73803672,A24,3,39,4,,0,8,2,2007,PT ,,6,79,"11 S OF CHELAN, ",,522,52.41667,1032,-103.41667,band
73803673,A25,3,39,4,,0,8,2,2007,PT ,,6,79,"11 S OF CHELAN, ",,522,52.41667,1032,-103.41667,band
73803674,A26,3,39,4,,0,8,2,2007,PT ,,6,79,"PORCUPINE PLAIN, ",,523,52.58333,1031,-103.25,band
73803675,A27,3,39,4,,0,8,2,2007,PT ,,6,79,"PORCUPINE PLAIN, ",,523,52.58333,1031,-103.25,band
73803676,A28,3,39,4,,0,8,2,2007,PT ,,6,79,7  E OF ARCHERWILL,,522,52.41667,1034,-103.75,band
73803677,A29,3,39,4,,0,8,2,2007,PT ,,6,79,7  E OF ARCHERWILL,,522,52.41667,1034,-103.75,band
73803678,A30,3,39,4,,0,8,2,2007,PT ,,6,79,"8 W Pleasantdale, ",,523,52.58333,1044,-104.75,band
73803679,A31,3,39,4,,0,8,2,2007,PT ,,6,79,"8 W Pleasantdale, ",,523,52.58333,1044,-104.75,band
73803680,A32,3,39,4,,0,8,5,2007,PT ,,6,79,"7  W OF LEOVILLE, ",,533,53.58333,1074,-107.75,band
